;Version, 1, 0
;v (/out_ip /out_in)\; pac dB20(V) (harmonic=-1)
;X, Y
;Re, Re
;freq, V
;Hz, dB
-50000000,-2.541823877139266
-49009900.99009895,-2.401408753336252
-48019801.98019791,-2.258949348427898
-47029702.97029686,-2.114395325275682
-46039603.96039581,-1.967695127589796
-45049504.95049524,-1.818796011460363
-44059405.9405942,-1.667644090750257
-43069306.93069315,-1.514184398923488
-42079207.9207921,-1.358360970655976
-41089108.91089106,-1.200116946623637
-40099009.90099001,-1.03939470575844
-39108910.89108896,-0.8761360302206023
-38118811.88118839,-0.7102823084176052
-37128712.87128735,-0.541774783400256
-36138613.8613863,-0.370555041456141
-35148514.85148525,-0.1965646571756229
-34158415.84158421,-0.01974666742778101
-33168316.83168316,0.1599545694468729
-32178217.82178211,0.342592588908073
-31188118.81188107,0.5282180768152988
-30198019.80198002,0.7168779872609644
-29207920.79207945,0.9086144981977247
-28217821.7821784,1.103463777632396
-27227722.77227736,1.301454528971671
-26237623.76237631,1.502606279449273
-25247524.75247526,1.706927370364618
-24257425.74257421,1.914412602162378
-23267326.73267317,2.125040481483739
-22277227.72277212,2.338770011198178
-21287128.71287155,2.555536958436973
-20297029.7029705,2.775249530526214
-19306930.69306946,2.997783384768567
-18316831.68316841,3.222975896906561
-17326732.67326736,3.450619615697323
-16336633.66336632,3.680454839974424
-15346534.65346527,3.912161272255586
-14356435.64356422,4.145348733007539
-13366336.63366318,4.379546966750048
-12376237.62376261,4.614194640078145
-11386138.61386156,4.848627728849281
-10396039.60396051,5.082067622622098
-9405940.594059467,5.313609444291902
-8415841.584158421,5.542211293540532
-7425742.574257374,5.766685371125733
-6435643.564356327,5.98569221464178
-5445544.55445528,6.197739549614653
-4455445.54455471,6.401187489335704
-3465346.534653664,6.594261939341094
-2475247.524752617,6.775077996368575
-1485148.51485157,6.941674785911697
-495049.5049505234,7.092062475969266
495049.5049505234,7.224281096971938
1485148.51485157,7.336469324993169
2475247.524752617,7.426939693937355
3465346.534653664,7.494255057882309
4455445.544554234,7.537299884371052
5445544.55445528,7.555339492078023
6435643.564356327,7.548060919834422
7425742.574257374,7.515590782801662
8415841.584158421,7.458488016255721
9405940.594059467,7.377712365231077
10396039.60396051,7.274572265953099
11386138.61386156,7.150657849419439
12376237.62376213,7.007765845799118
13366336.63366318,6.847823121620823
14356435.64356422,6.672814628079275
15346534.65346527,6.484720019779139
16336633.66336632,6.285461492748884
17326732.67326736,6.076863799691811
18316831.68316841,5.860626127143772
19306930.69306946,5.638304643432353
20297029.7029705,5.411304035149356
21287128.71287107,5.180876176365217
22277227.72277212,4.9481241272617
23267326.73267317,4.714009852290078
24257425.74257421,4.479364308731236
25247524.75247526,4.244898834159729
26237623.76237631,4.011217022570001
27227722.77227736,3.778826506580178
28217821.7821784,3.548150250240098
29207920.79207897,3.319537104050104
30198019.80198002,3.09327148442074
31188118.81188107,2.869582120235114
32178217.82178211,2.648649864602517
33168316.83168316,2.430614606775763
34158415.84158421,2.215581341562582
35148514.85148525,2.003625465897561
36138613.8613863,1.794797377253193
37128712.87128735,1.589126448744461
38118811.88118792,1.386624453024898
39108910.89108896,1.187288502143276
40099009.90099001,0.9911035650964977
41089108.91089106,0.7980446183710814
42079207.9207921,0.6080784790802936
43069306.93069315,0.4211653642667988
44059405.9405942,0.2372602145769868
45049504.95049477,0.05631381574325339
46039603.96039581,-0.1217262533161141
47029702.97029686,-0.2969148206982919
48019801.98019791,-0.4693084534682899
49009900.99009895,-0.6389648729905684
50000000,-0.8059425120406878
