;Version, 1, 0
;noise figure
;X, Y
;Re, Re
;freq, Noise Figure
;Hz, dB
-50000000,5.754053425581858
-49804687.5,5.748485787831529
-49609375,5.74289865111421
-49414062.5,5.737291880287556
-49218750,5.731665325239871
-49023437.5,5.726018867580295
-48828125,5.720352356437089
-48632812.5,5.714665648587752
-48437500,5.708958598996845
-48242187.5,5.703231060854053
-48046875,5.697482885491521
-47851562.5,5.691713922388439
-47656250,5.685924019106263
-47460937.5,5.680113021286752
-47265625,5.674280772614144
-47070312.5,5.668427138555924
-46875000,5.662551912751482
-46679687.5,5.656654955008865
-46484375,5.650736100811066
-46289062.5,5.644795183504357
-46093750,5.638832034263772
-45898437.5,5.632846482057213
-45703125,5.62683835360536
-45507812.5,5.620807473347704
-45312500,5.614753663398506
-45117187.5,5.608676743516344
-44921875,5.602576531056657
-44726562.5,5.596452840934631
-44531250,5.59030548558531
-44335937.5,5.584134274921994
-44140625,5.577939016291181
-43945312.5,5.571719514433175
-43750000,5.565475571437745
-43554687.5,5.559206986700037
-43359375,5.55291355687678
-43164062.5,5.546595075836463
-42968750,5.540251334621344
-42773437.5,5.533882121394358
-42578125,5.527487221393042
-42382812.5,5.521066416884328
-42187500,5.51461948711361
-41992187.5,5.508146208254875
-41796875,5.50164635336101
-41601562.5,5.495119692316259
-41406250,5.48856599178127
-41210937.5,5.481985015141731
-41015625,5.47537652245738
-40820312.5,5.468740270405602
-40625000,5.462076012233377
-40429687.5,5.455383497694378
-40234375,5.448662473001901
-40039062.5,5.441912680767687
-39843750,5.435133859946353
-39648437.5,5.428325745780883
-39453125,5.421488069741463
-39257812.5,5.414620559468851
-39062500,5.407722938716911
-38867187.5,5.400794927291138
-38671875,5.393836240988485
-38476562.5,5.386846591539448
-38281250,5.379825686545042
-38085937.5,5.372773229415508
-37890625,5.365688919309905
-37695312.5,5.358572451073667
-37500000,5.351423515173897
-37304687.5,5.344241797640767
-37109375,5.337026980000455
-36914062.5,5.32977873921398
-36718750,5.322496747613662
-36523437.5,5.315180672838544
-36328125,5.307830177772258
-36132812.5,5.300444920477631
-35937500,5.293024554136775
-35742187.5,5.285568726982329
-35546875,5.278077082238534
-35351562.5,5.270549258058448
-35156250,5.262984887459112
-34960937.5,5.255383598262497
-34765625,5.247745013031487
-34570312.5,5.240068749014346
-34375000,5.232354418077623
-34179687.5,5.224601626656512
-33984375,5.216809975691921
-33789062.5,5.208979060574571
-33593750,5.201108471094021
-33398437.5,5.193197791383788
-33203125,5.185246599870964
-33007812.5,5.177254469227131
-32812500,5.169220966321789
-32617187.5,5.161145652179591
-32421875,5.153028081939826
-32226562.5,5.144867804815346
-32031250,5.136664364062264
-31835937.5,5.128417296947718
-31640625,5.12012613472051
