;Version, 1, 0
;v /net1\; tran (V)
;X, Y
;Re, Re
;time, V
;s, V
0,0
3.401360544217687e-11,8.924558168778268e-05
6.802721088435375e-11,0.0001501888036632606
1.020408163265306e-10,0.0001680666875121805
1.360544217687075e-10,0.0001419707805678452
1.700680272108844e-10,8.296440708410984e-05
2.040816326530612e-10,8.844859607008769e-06
2.380952380952381e-10,-6.108040256537732e-05
2.72108843537415e-10,-0.0001096280864139121
3.061224489795919e-10,-0.0001261824226734656
3.401360544217688e-10,-0.0001086649983993302
3.741496598639457e-10,-6.334965930427725e-05
4.081632653061226e-10,-3.408479229446991e-06
4.421768707482995e-10,5.50131015999134e-05
4.761904761904763e-10,9.672600017554433e-05
5.102040816326531e-10,0.0001112700370808056
5.4421768707483e-10,9.564489726044218e-05
5.782312925170068e-10,5.467773477368243e-05
6.122448979591837e-10,-2.201718876646881e-07
6.462585034013605e-10,-5.417712968377452e-05
6.802721088435374e-10,-9.286281606046853e-05
7.142857142857142e-10,-0.0001061243667747903
7.48299319727891e-10,-9.071656841424046e-05
7.823129251700679e-10,-5.103680358866634e-05
8.163265306122447e-10,2.113165027375689e-06
8.503401360544216e-10,5.439063829448293e-05
8.843537414965984e-10,9.18064143709637e-05
9.183673469387752e-10,0.0001044041122705538
9.523809523809522e-10,8.890486315170674e-05
9.86394557823129e-10,4.957097948256372e-05
1.020408163265306e-09,-2.988808171034303e-06
1.054421768707483e-09,-5.464562066786034e-05
1.08843537414966e-09,-9.155002910476019e-05
1.122448979591836e-09,-0.0001038372384764001
1.156462585034013e-09,-8.824550497409167e-05
1.19047619047619e-09,-4.899349379046862e-05
1.224489795918367e-09,3.370493703950694e-06
1.258503401360544e-09,5.48027250502411e-05
1.292517006802721e-09,9.149747387274979e-05
1.326530612244897e-09,0.0001036416293915778
1.360544217687074e-09,8.801419074736304e-05
1.394557823129251e-09,4.87736352436356e-05
1.428571428571428e-09,-3.529169643378102e-06
1.462585034013605e-09,-5.4859532761383e-05
1.496598639455782e-09,-9.149041489191284e-05
1.530612244897959e-09,-0.0001035799646594002
1.564625850340135e-09,-8.7908422283454e-05
1.598639455782312e-09,-4.86836161541325e-05
1.632653061224489e-09,3.60492370396318e-06
1.666666666666666e-09,5.489231439311375e-05
1.700680272108843e-09,9.146448449280807e-05
1.73469387755102e-09,0.0001035473649238673
1.768707482993196e-09,8.786517156120803e-05
1.802721088435373e-09,4.864408666314967e-05
1.83673469387755e-09,-3.615157574542963e-06
1.870748299319727e-09,-5.489818027386919e-05
1.904761904761904e-09,-9.146538063972646e-05
1.938775510204081e-09,-0.0001035259148676051
1.972789115646258e-09,-8.783728615872137e-05
2.006802721088435e-09,-4.859827546403576e-05
2.040816326530612e-09,3.636069423368498e-06
2.074829931972789e-09,5.488673643617316e-05
2.108843537414966e-09,9.145812750471744e-05
2.142857142857143e-09,0.0001034913081093629
2.17687074829932e-09,8.780648527195182e-05
2.210884353741497e-09,4.861725326831006e-05
2.244897959183674e-09,-3.636872616491717e-06
2.278911564625852e-09,-5.490142370920227e-05
2.312925170068029e-09,-9.143538343301037e-05
2.346938775510206e-09,-0.000103491899191001
2.380952380952383e-09,-8.779790438003516e-05
2.41496598639456e-09,-4.856553874299333e-05
2.448979591836737e-09,3.647297067532e-06
2.482993197278914e-09,5.488745019376482e-05
