;Version, 1, 0
;v (/net8 /net7)\; pac dB20(V) (harmonic=0)
;X, Y
;Re, Re
;freq, V
;Hz, dB
-50000000,-10.8290324014847
-49804687.5,-10.76322686664162
-49609375,-10.69717570977013
-49414062.5,-10.63087710791703
-49218750,-10.56432921783093
-49023437.5,-10.49753017565934
-48828125,-10.43047809663939
-48632812.5,-10.36317107478338
-48437500,-10.29560718255803
-48242187.5,-10.22778447055757
-48046875,-10.15970097132019
-47851562.5,-10.09135468312521
-47656250,-10.02274359239493
-47460937.5,-9.953865658838094
-47265625,-9.884718818559918
-47070312.5,-9.815300983695694
-46875000,-9.745610042036965
-46679687.5,-9.675643859850439
-46484375,-9.605400269247962
-46289062.5,-9.53487708535544
-46093750,-9.464072094700827
-45898437.5,-9.392983057484967
-45703125,-9.32160770716116
-45507812.5,-9.249943750005517
-45312500,-9.177988864679175
-45117187.5,-9.105740701781482
-44921875,-9.033196883393963
-44726562.5,-8.960355002614797
-44531250,-8.887212623084119
-44335937.5,-8.813767278498938
-44140625,-8.740016473324669
-43945312.5,-8.665957677594525
-43750000,-8.591588333249327
-43554687.5,-8.516905849160638
-43359375,-8.441907601676737
-43164062.5,-8.366590934072992
-42968750,-8.290953155991076
-42773437.5,-8.214991542866017
-42578125,-8.138703335340502
-42382812.5,-8.062085738667198
-42187500,-7.985135922097579
-41992187.5,-7.907851018257511
-41796875,-7.830228122509329
-41601562.5,-7.752264292299641
-41406250,-7.673956546492912
-41210937.5,-7.595301864689992
-41015625,-7.516297186531714
-40820312.5,-7.436939410986662
-40625000,-7.357225395623095
-40429687.5,-7.277151955864127
-40234375,-7.196715864226267
-40039062.5,-7.115913849540458
-39843750,-7.034742596155105
-39648437.5,-6.95319874312097
-39453125,-6.871278883357206
-39257812.5,-6.788979562797673
-39062500,-6.706297279517709
-38867187.5,-6.623228482840266
-38671875,-6.539769572420793
-38476562.5,-6.455916897310681
-38281250,-6.371666754998365
-38085937.5,-6.287015390427469
-37890625,-6.201958994991306
-37695312.5,-6.116493705503236
-37500000,-6.030615603142037
-37304687.5,-5.944320712371524
-37109375,-5.857604999833722
-36914062.5,-5.770464373215061
-36718750,-5.682894680084213
-36523437.5,-5.594891706701405
-36328125,-5.506451176797832
-36132812.5,-5.417568750324676
-35937500,-5.328240022170462
-35742187.5,-5.238460520846271
-35546875,-5.148225707137247
-35351562.5,-5.057530972719992
-35156250,-4.966371638744277
-34960937.5,-4.874742954378483
-34765625,-4.7826400953173
-34570312.5,-4.690058162250624
-34375000,-4.596992179292606
-34179687.5,-4.503437092369404
-33984375,-4.409387767564695
-33789062.5,-4.314838989421126
-33593750,-4.21978545919697
-33398437.5,-4.124221793076029
-33203125,-4.028142520329706
-33007812.5,-3.931542081429596
-32812500,-3.834414826109026
-32617187.5,-3.736755011372182
-32421875,-3.638556799448602
-32226562.5,-3.539814255692184
-32031250,-3.440521346422141
-31835937.5,-3.340671936704531
-31640625,-3.240259788072497
-31445312.5,-3.13927855618283
-31250000,-3.03772178840753
-31054687.5,-2.935582921357901
-30859375,-2.83285527833863
-30664062.5,-2.729532066730926
-30468750,-2.625606375300942
-30273437.5,-2.5210711714321
-30078125,-2.415919298278921
-29882812.5,-2.310143471839097
-29687500,-2.203736277942317
-29492187.5,-2.096690169152404
-29296875,-1.98899746158047
-29101562.5,-1.880650331606127
-28906250,-1.771640812504307
-28710937.5,-1.661960790974155
-28515625,-1.551602003567646
-28320312.5,-1.440556033014535
-28125000,-1.328814304440282
-27929687.5,-1.21636808147495
-27734375,-1.103208462248114
-27539062.5,-0.9893263752678234
-27343750,-0.8747125751800251
-27148437.5,-0.7593576384044364
-26953125,-0.6432519586447459
-26757812.5,-0.5263857422680044
-26562500,-0.4087490035514196
-26367187.5,-0.2903315597922295
-26171875,-0.1711230262773858
-25976562.5,-0.05111281110986209
-25781250,0.06970989011206966
-25585937.5,0.1913560996397739
-25390625,0.3138370636980451
-25195312.5,0.4371642575170784
